ensembl_gene_id,Gene_name,ensembl_gene_id_version
ENSG00000000005,TNMD,ENSG00000000005.6
ENSG00000000457,SCYL3,ENSG00000000457.14
ENSG00000000460,FIRRM,ENSG00000000460.17
ENSG00000000938,FGR,ENSG00000000938.13
ENSG00000001036,FUCA2,ENSG00000001036.14
ENSG00000001084,GCLC,ENSG00000001084.13
ENSG00000001460,STPG1,ENSG00000001460.18
ENSG00000001461,NIPAL3,ENSG00000001461.17
ENSG00000001497,LAS1L,ENSG00000001497.18
ENSG00000001561,ENPP4,ENSG00000001561.7
ENSG00000001617,SEMA3F,ENSG00000001617.12
ENSG00000001629,ANKIB1,ENSG00000001629.10
ENSG00000002016,RAD52,ENSG00000002016.18
ENSG00000002330,BAD,ENSG00000002330.14
ENSG00000002586,CD99,ENSG00000002586.20
ENSG00000002587,HS3ST1,ENSG00000002587.10
ENSG00000002726,AOC1,ENSG00000002726.21
ENSG00000002745,WNT16,ENSG00000002745.13
ENSG00000002746,HECW1,ENSG00000002746.15
ENSG00000002919,SNX11,ENSG00000002919.15
ENSG00000002933,TMEM176A,ENSG00000002933.9
ENSG00000003056,M6PR,ENSG00000003056.8
ENSG00000003147,ICA1,ENSG00000003147.19
ENSG00000003249,DBNDD1,ENSG00000003249.15
ENSG00000003436,TFPI,ENSG00000003436.16
ENSG00000003509,NDUFAF7,ENSG00000003509.16
ENSG00000003756,RBM5,ENSG00000003756.17
ENSG00000003987,MTMR7,ENSG00000003987.14
ENSG00000003989,SLC7A2,ENSG00000003989.18
ENSG00000004059,ARF5,ENSG00000004059.11
ENSG00000004139,SARM1,ENSG00000004139.14
ENSG00000004142,POLDIP2,ENSG00000004142.12
ENSG00000004399,PLXND1,ENSG00000004399.13
ENSG00000004468,CD38,ENSG00000004468.13
ENSG00000004478,FKBP4,ENSG00000004478.8
ENSG00000004534,RBM6,ENSG00000004534.15
ENSG00000004660,CAMKK1,ENSG00000004660.15
ENSG00000004700,RECQL,ENSG00000004700.16
ENSG00000004766,VPS50,ENSG00000004766.17
ENSG00000004776,HSPB6,ENSG00000004776.13
ENSG00000004779,NDUFAB1,ENSG00000004779.10
ENSG00000004799,PDK4,ENSG00000004799.8
ENSG00000004809,SLC22A16,ENSG00000004809.14
ENSG00000004838,ZMYND10,ENSG00000004838.14
ENSG00000004848,ARX,ENSG00000004848.8
ENSG00000004864,SLC25A13,ENSG00000004864.14
ENSG00000004866,ST7,ENSG00000004866.22
ENSG00000004897,CDC27,ENSG00000004897.12
ENSG00000004948,CALCR,ENSG00000004948.16
ENSG00000004961,HCCS,ENSG00000004961.15
ENSG00000004975,DVL2,ENSG00000004975.12
ENSG00000005001,PRSS22,ENSG00000005001.10
