"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"GO:0030552","cAMP binding","2/8","24/21059",0,0.002,0.001,"CNGB1/POPDC3",2,"Molecular Function","Upregulated"
"GO:0030551","cyclic nucleotide binding","2/8","39/21059",0,0.003,0.001,"CNGB1/POPDC3",2,"Molecular Function","Upregulated"
"GO:0008201","heparin binding","2/8","206/21059",0.003,0.022,0.008,"COL17A1/FGFBP1",2,"Molecular Function","Upregulated"
"GO:0015279","store-operated calcium channel activity","1/8","10/21059",0.004,0.022,0.008,"TRPC3",1,"Molecular Function","Upregulated"
"GO:0008514","organic anion transmembrane transporter activity","2/8","261/21059",0.004,0.022,0.008,"SLC7A5/SLC2A1",2,"Molecular Function","Upregulated"
"GO:0005221","intracellular cyclic nucleotide activated monoatomic cation channel activity","1/8","11/21059",0.004,0.022,0.008,"CNGB1",1,"Molecular Function","Upregulated"
"GO:0015173","aromatic amino acid transmembrane transporter activity","1/8","11/21059",0.004,0.022,0.008,"SLC7A5",1,"Molecular Function","Upregulated"
"GO:0015658","branched-chain amino acid transmembrane transporter activity","1/8","11/21059",0.004,0.022,0.008,"SLC7A5",1,"Molecular Function","Upregulated"
"GO:0043855","cyclic nucleotide-gated monoatomic ion channel activity","1/8","11/21059",0.004,0.022,0.008,"CNGB1",1,"Molecular Function","Upregulated"
"GO:0005539","glycosaminoglycan binding","2/8","273/21059",0.004,0.022,0.008,"COL17A1/FGFBP1",2,"Molecular Function","Upregulated"
"GO:0070679","inositol 1,4,5 trisphosphate binding","1/8","13/21059",0.005,0.022,0.008,"TRPC3",1,"Molecular Function","Upregulated"
"GO:0055056","D-glucose transmembrane transporter activity","1/8","14/21059",0.005,0.022,0.008,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:1901681","sulfur compound binding","2/8","308/21059",0.006,0.022,0.008,"COL17A1/FGFBP1",2,"Molecular Function","Upregulated"
"GO:0030553","cGMP binding","1/8","15/21059",0.006,0.022,0.008,"CNGB1",1,"Molecular Function","Upregulated"
"GO:0005324","long-chain fatty acid transporter activity","1/8","18/21059",0.007,0.022,0.008,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0005261","monoatomic cation channel activity","2/8","350/21059",0.007,0.022,0.008,"CNGB1/TRPC3",2,"Molecular Function","Upregulated"
"GO:0022839","monoatomic ion gated channel activity","2/8","354/21059",0.007,0.022,0.008,"CNGB1/TRPC3",2,"Molecular Function","Upregulated"
"GO:0022836","gated channel activity","2/8","355/21059",0.007,0.022,0.008,"CNGB1/TRPC3",2,"Molecular Function","Upregulated"
"GO:0005227","calcium activated cation channel activity","1/8","25/21059",0.009,0.026,0.009,"TRPC3",1,"Molecular Function","Upregulated"
"GO:0017134","fibroblast growth factor binding","1/8","25/21059",0.009,0.026,0.009,"FGFBP1",1,"Molecular Function","Upregulated"
"GO:0005355","glucose transmembrane transporter activity","1/8","30/21059",0.011,0.028,0.01,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0015149","hexose transmembrane transporter activity","1/8","30/21059",0.011,0.028,0.01,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0005217","intracellular ligand-gated monoatomic ion channel activity","1/8","31/21059",0.012,0.028,0.01,"CNGB1",1,"Molecular Function","Upregulated"
"GO:0015145","monosaccharide transmembrane transporter activity","1/8","33/21059",0.012,0.028,0.01,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0051119","sugar transmembrane transporter activity","1/8","35/21059",0.013,0.028,0.01,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0005216","monoatomic ion channel activity","2/8","481/21059",0.013,0.028,0.01,"CNGB1/TRPC3",2,"Molecular Function","Upregulated"
"GO:0042910","xenobiotic transmembrane transporter activity","1/8","40/21059",0.015,0.03,0.011,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0090482","vitamin transmembrane transporter activity","1/8","46/21059",0.017,0.033,0.011,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0015144","carbohydrate transmembrane transporter activity","1/8","48/21059",0.018,0.033,0.011,"SLC2A1",1,"Molecular Function","Upregulated"
"GO:0015175","neutral L-amino acid transmembrane transporter activity","1/8","48/21059",0.018,0.033,0.011,"SLC7A5",1,"Molecular Function","Upregulated"
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","1/8","53/21059",0.02,0.035,0.012,"COL17A1",1,"Molecular Function","Upregulated"
"GO:0015179","L-amino acid transmembrane transporter activity","1/8","69/21059",0.026,0.044,0.015,"SLC7A5",1,"Molecular Function","Upregulated"
"GO:0043621","protein self-association","1/8","77/21059",0.029,0.047,0.017,"SLC2A1",1,"Molecular Function","Upregulated"
