"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"GO:0045494","photoreceptor cell maintenance","3/8","48/21261",0,0,0,"CNGB1/RP1/SLC2A1",3,"Biological Process","Upregulated"
"GO:0007602","phototransduction","3/8","53/21261",0,0,0,"CNGB1/RP1/TRPC3",3,"Biological Process","Upregulated"
"GO:0009583","detection of light stimulus","3/8","75/21261",0,0,0,"CNGB1/RP1/TRPC3",3,"Biological Process","Upregulated"
"GO:0001895","retina homeostasis","3/8","93/21261",0,0,0,"CNGB1/RP1/SLC2A1",3,"Biological Process","Upregulated"
"GO:0035845","photoreceptor cell outer segment organization","2/8","13/21261",0,0.001,0,"CNGB1/RP1",2,"Biological Process","Upregulated"
"GO:0009581","detection of external stimulus","3/8","155/21261",0,0.001,0,"CNGB1/RP1/TRPC3",3,"Biological Process","Upregulated"
"GO:0009582","detection of abiotic stimulus","3/8","158/21261",0,0.001,0,"CNGB1/RP1/TRPC3",3,"Biological Process","Upregulated"
"GO:0042149","cellular response to glucose starvation","2/8","51/21261",0,0.005,0.002,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0001894","tissue homeostasis","3/8","310/21261",0,0.005,0.002,"CNGB1/RP1/SLC2A1",3,"Biological Process","Upregulated"
"GO:0060249","anatomical structure homeostasis","3/8","310/21261",0,0.005,0.002,"CNGB1/RP1/SLC2A1",3,"Biological Process","Upregulated"
"GO:0009584","detection of visible light","2/8","59/21261",0,0.005,0.002,"CNGB1/RP1",2,"Biological Process","Upregulated"
"GO:0042461","photoreceptor cell development","2/8","60/21261",0,0.005,0.002,"CNGB1/RP1",2,"Biological Process","Upregulated"
"GO:0009416","response to light stimulus","3/8","344/21261",0,0.005,0.002,"CNGB1/RP1/TRPC3",3,"Biological Process","Upregulated"
"GO:0051480","regulation of cytosolic calcium ion concentration","2/8","62/21261",0,0.005,0.002,"CNGB1/TRPC3",2,"Biological Process","Upregulated"
"GO:0042908","xenobiotic transport","2/8","63/21261",0,0.005,0.002,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0046530","photoreceptor cell differentiation","2/8","77/21261",0,0.006,0.003,"CNGB1/RP1",2,"Biological Process","Upregulated"
"GO:0009314","response to radiation","3/8","465/21261",0.001,0.008,0.004,"CNGB1/RP1/TRPC3",3,"Biological Process","Upregulated"
"GO:0010232","vascular transport","2/8","96/21261",0.001,0.008,0.004,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0150104","transport across blood-brain barrier","2/8","96/21261",0.001,0.008,0.004,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:1905039","carboxylic acid transmembrane transport","2/8","172/21261",0.002,0.025,0.01,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:1903825","organic acid transmembrane transport","2/8","173/21261",0.002,0.025,0.01,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0009267","cellular response to starvation","2/8","193/21261",0.002,0.029,0.012,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0034764","positive regulation of transmembrane transport","2/8","223/21261",0.003,0.033,0.014,"SLC7A5/TRPC3",2,"Biological Process","Upregulated"
"GO:0098739","import across plasma membrane","2/8","231/21261",0.003,0.033,0.014,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0042594","response to starvation","2/8","233/21261",0.003,0.033,0.014,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0007601","visual perception","2/8","240/21261",0.003,0.033,0.014,"CNGB1/RP1",2,"Biological Process","Upregulated"
"GO:0050953","sensory perception of light stimulus","2/8","244/21261",0.004,0.033,0.014,"CNGB1/RP1",2,"Biological Process","Upregulated"
"GO:0015911","long-chain fatty acid import across plasma membrane","1/8","10/21261",0.004,0.033,0.014,"SLC2A1",1,"Biological Process","Upregulated"
"GO:0019852","L-ascorbic acid metabolic process","1/8","10/21261",0.004,0.033,0.014,"SLC2A1",1,"Biological Process","Upregulated"
"GO:1901334","lactone metabolic process","1/8","10/21261",0.004,0.033,0.014,"SLC2A1",1,"Biological Process","Upregulated"
