"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"GO:0001917","photoreceptor inner segment","2/8","72/22568",0,0.011,0.004,"RP1/SLC2A1",2,"Cellular Component","Upregulated"
"GO:1990351","transporter complex","3/8","464/22568",0,0.011,0.004,"CNGB1/SLC2A1/TRPC3",3,"Cellular Component","Upregulated"
"GO:0001750","photoreceptor outer segment","2/8","102/22568",0.001,0.011,0.004,"CNGB1/RP1",2,"Cellular Component","Upregulated"
"GO:0097733","photoreceptor cell cilium","2/8","130/22568",0.001,0.013,0.004,"CNGB1/RP1",2,"Cellular Component","Upregulated"
"GO:0097731","9+0 non-motile cilium","2/8","142/22568",0.001,0.013,0.004,"CNGB1/RP1",2,"Cellular Component","Upregulated"
"GO:0042383","sarcolemma","2/8","155/22568",0.001,0.013,0.004,"SLC2A1/POPDC3",2,"Cellular Component","Upregulated"
"GO:0097730","non-motile cilium","2/8","181/22568",0.002,0.015,0.005,"CNGB1/RP1",2,"Cellular Component","Upregulated"
"GO:0034703","cation channel complex","2/8","208/22568",0.002,0.017,0.005,"CNGB1/TRPC3",2,"Cellular Component","Upregulated"
"GO:0001939","female pronucleus","1/8","10/22568",0.004,0.023,0.007,"SLC2A1",1,"Cellular Component","Upregulated"
"GO:0016323","basolateral plasma membrane","2/8","277/22568",0.004,0.024,0.008,"SLC7A5/SLC2A1",2,"Cellular Component","Upregulated"
"GO:0045120","pronucleus","1/8","14/22568",0.005,0.024,0.008,"SLC2A1",1,"Cellular Component","Upregulated"
"GO:0009925","basal plasma membrane","2/8","311/22568",0.005,0.024,0.008,"SLC7A5/SLC2A1",2,"Cellular Component","Upregulated"
"GO:0034702","monoatomic ion channel complex","2/8","328/22568",0.006,0.024,0.008,"CNGB1/TRPC3",2,"Cellular Component","Upregulated"
"GO:0045178","basal part of cell","2/8","330/22568",0.006,0.024,0.008,"SLC7A5/SLC2A1",2,"Cellular Component","Upregulated"
"GO:0001674","female germ cell nucleus","1/8","18/22568",0.006,0.025,0.008,"SLC2A1",1,"Cellular Component","Upregulated"
"GO:0031253","cell projection membrane","2/8","400/22568",0.008,0.03,0.01,"CNGB1/SLC7A5",2,"Cellular Component","Upregulated"
"GO:1902495","transmembrane transporter complex","2/8","437/22568",0.01,0.033,0.011,"CNGB1/TRPC3",2,"Cellular Component","Upregulated"
"GO:0016324","apical plasma membrane","2/8","444/22568",0.01,0.033,0.011,"SLC7A5/SLC2A1",2,"Cellular Component","Upregulated"
"GO:0031528","microvillus membrane","1/8","42/22568",0.015,0.045,0.014,"SLC7A5",1,"Cellular Component","Upregulated"
"GO:0032391","photoreceptor connecting cilium","1/8","45/22568",0.016,0.045,0.014,"RP1",1,"Cellular Component","Upregulated"
"GO:0097542","ciliary tip","1/8","48/22568",0.017,0.045,0.014,"RP1",1,"Cellular Component","Upregulated"
"GO:0043195","terminal bouton","1/8","49/22568",0.017,0.045,0.014,"CNGB1",1,"Cellular Component","Upregulated"
"GO:0014704","intercalated disc","1/8","50/22568",0.018,0.045,0.014,"SLC2A1",1,"Cellular Component","Upregulated"
