"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"GO:0001540","amyloid-beta binding","2/6","105/21059",0,0.01,0.003,"ACHE/CRYAB",2,"Molecular Function","Upregulated"
"GO:0042166","acetylcholine binding","1/6","15/21059",0.004,0.034,0.012,"ACHE",1,"Molecular Function","Upregulated"
"GO:0042165","neurotransmitter binding","1/6","21/21059",0.006,0.034,0.012,"ACHE",1,"Molecular Function","Upregulated"
"GO:0005212","structural constituent of eye lens","1/6","25/21059",0.007,0.034,0.012,"CRYAB",1,"Molecular Function","Upregulated"
"GO:0043236","laminin binding","1/6","29/21059",0.008,0.034,0.012,"ACHE",1,"Molecular Function","Upregulated"
"GO:0005184","neuropeptide hormone activity","1/6","31/21059",0.009,0.034,0.012,"NPY",1,"Molecular Function","Upregulated"
"GO:0160041","neuropeptide activity","1/6","31/21059",0.009,0.034,0.012,"NPY",1,"Molecular Function","Upregulated"
"GO:0071855","neuropeptide receptor binding","1/6","40/21059",0.011,0.038,0.013,"NPY",1,"Molecular Function","Upregulated"
"GO:0005246","calcium channel regulator activity","1/6","46/21059",0.013,0.039,0.014,"NPY",1,"Molecular Function","Upregulated"
"GO:0050840","extracellular matrix binding","1/6","56/21059",0.016,0.04,0.014,"ACHE",1,"Molecular Function","Upregulated"
"GO:0050997","quaternary ammonium group binding","1/6","58/21059",0.016,0.04,0.014,"ACHE",1,"Molecular Function","Upregulated"
"GO:0043621","protein self-association","1/6","77/21059",0.022,0.049,0.017,"ACHE",1,"Molecular Function","Upregulated"
