"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"GO:0071478","cellular response to radiation","2/6","194/21261",0.001,0.045,0.02,"RGS9/CRYAB",2,"Biological Process","Upregulated"
"GO:0007021","tubulin complex assembly","1/6","10/21261",0.003,0.045,0.02,"CRYAB",1,"Biological Process","Upregulated"
"GO:0008343","adult feeding behavior","1/6","10/21261",0.003,0.045,0.02,"NPY",1,"Biological Process","Upregulated"
"GO:0035878","nail development","1/6","11/21261",0.003,0.045,0.02,"RSPO4",1,"Biological Process","Upregulated"
"GO:0042135","neurotransmitter catabolic process","1/6","11/21261",0.003,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:0008291","acetylcholine metabolic process","1/6","13/21261",0.004,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:1900619","acetate ester metabolic process","1/6","13/21261",0.004,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:0071214","cellular response to abiotic stimulus","2/6","351/21261",0.004,0.045,0.02,"RGS9/CRYAB",2,"Biological Process","Upregulated"
"GO:0104004","cellular response to environmental stimulus","2/6","351/21261",0.004,0.045,0.02,"RGS9/CRYAB",2,"Biological Process","Upregulated"
"GO:0032095","regulation of response to food","1/6","16/21261",0.005,0.045,0.02,"NPY",1,"Biological Process","Upregulated"
"GO:0043010","camera-type eye development","2/6","379/21261",0.005,0.045,0.02,"ACHE/CRYAB",2,"Biological Process","Upregulated"
"GO:0002076","osteoblast development","1/6","17/21261",0.005,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:1905907","negative regulation of amyloid fibril formation","1/6","18/21261",0.005,0.045,0.02,"CRYAB",1,"Biological Process","Upregulated"
"GO:0001654","eye development","2/6","431/21261",0.006,0.045,0.02,"ACHE/CRYAB",2,"Biological Process","Upregulated"
"GO:0150063","visual system development","2/6","435/21261",0.006,0.045,0.02,"ACHE/CRYAB",2,"Biological Process","Upregulated"
"GO:0048880","sensory system development","2/6","448/21261",0.006,0.045,0.02,"ACHE/CRYAB",2,"Biological Process","Upregulated"
"GO:0032098","regulation of appetite","1/6","23/21261",0.006,0.045,0.02,"NPY",1,"Biological Process","Upregulated"
"GO:0009314","response to radiation","2/6","465/21261",0.007,0.045,0.02,"RGS9/CRYAB",2,"Biological Process","Upregulated"
"GO:1905906","regulation of amyloid fibril formation","1/6","24/21261",0.007,0.045,0.02,"CRYAB",1,"Biological Process","Upregulated"
"GO:0009642","response to light intensity","1/6","27/21261",0.008,0.045,0.02,"RGS9",1,"Biological Process","Upregulated"
"GO:0001919","regulation of receptor recycling","1/6","28/21261",0.008,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:0060561","apoptotic process involved in morphogenesis","1/6","28/21261",0.008,0.045,0.02,"CRYAB",1,"Biological Process","Upregulated"
"GO:0071480","cellular response to gamma radiation","1/6","29/21261",0.008,0.045,0.02,"CRYAB",1,"Biological Process","Upregulated"
"GO:0060575","intestinal epithelial cell differentiation","1/6","30/21261",0.008,0.045,0.02,"NPY",1,"Biological Process","Upregulated"
"GO:0007271","synaptic transmission, cholinergic","1/6","35/21261",0.01,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:0032104","regulation of response to extracellular stimulus","1/6","35/21261",0.01,0.045,0.02,"NPY",1,"Biological Process","Upregulated"
"GO:0032107","regulation of response to nutrient levels","1/6","35/21261",0.01,0.045,0.02,"NPY",1,"Biological Process","Upregulated"
"GO:0042133","neurotransmitter metabolic process","1/6","35/21261",0.01,0.045,0.02,"ACHE",1,"Biological Process","Upregulated"
"GO:0042026","protein refolding","1/6","40/21261",0.011,0.047,0.021,"CRYAB",1,"Biological Process","Upregulated"
"GO:0095500","acetylcholine receptor signaling pathway","1/6","41/21261",0.012,0.047,0.021,"ACHE",1,"Biological Process","Upregulated"
"GO:0032094","response to food","1/6","42/21261",0.012,0.047,0.021,"NPY",1,"Biological Process","Upregulated"
"GO:1905145","cellular response to acetylcholine","1/6","43/21261",0.012,0.047,0.021,"ACHE",1,"Biological Process","Upregulated"
"GO:1902742","apoptotic process involved in development","1/6","45/21261",0.013,0.047,0.021,"CRYAB",1,"Biological Process","Upregulated"
"GO:0071542","dopaminergic neuron differentiation","1/6","46/21261",0.013,0.047,0.021,"LMX1B",1,"Biological Process","Upregulated"
"GO:1905144","response to acetylcholine","1/6","46/21261",0.013,0.047,0.021,"ACHE",1,"Biological Process","Upregulated"
"GO:0098926","postsynaptic signal transduction","1/6","48/21261",0.013,0.048,0.022,"ACHE",1,"Biological Process","Upregulated"
"GO:0001881","receptor recycling","1/6","51/21261",0.014,0.049,0.022,"ACHE",1,"Biological Process","Upregulated"
