"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"R-HSA-112311","Neurotransmitter clearance","1/5","10/11009",0.005,0.043,0.016,"ACHE",1,"REACTOME Pathways","Upregulated"
"R-HSA-418594","G alpha (i) signalling events","2/5","318/11009",0.008,0.043,0.016,"RGS9/NPY",2,"REACTOME Pathways","Upregulated"
"R-HSA-422085","Synthesis, secretion, and deacylation of Ghrelin","1/5","19/11009",0.009,0.043,0.016,"ACHE",1,"REACTOME Pathways","Upregulated"
"R-HSA-4641263","Regulation of FZD by ubiquitination","1/5","21/11009",0.01,0.043,0.016,"RSPO4",1,"REACTOME Pathways","Upregulated"
"R-HSA-3371571","HSF1-dependent transactivation","1/5","24/11009",0.011,0.043,0.016,"CRYAB",1,"REACTOME Pathways","Upregulated"
"R-HSA-1483191","Synthesis of PC","1/5","28/11009",0.013,0.043,0.016,"ACHE",1,"REACTOME Pathways","Upregulated"
"R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","1/5","29/11009",0.013,0.043,0.016,"NPY",1,"REACTOME Pathways","Upregulated"
"R-HSA-2514859","Inactivation, recovery and regulation of the phototransduction cascade","1/5","36/11009",0.016,0.043,0.016,"RGS9",1,"REACTOME Pathways","Upregulated"
"R-HSA-2514856","The phototransduction cascade","1/5","37/11009",0.017,0.043,0.016,"RGS9",1,"REACTOME Pathways","Upregulated"
"R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding","1/5","38/11009",0.017,0.043,0.016,"RGS9",1,"REACTOME Pathways","Upregulated"
