,TCGA-W5-AA38-01A-11R-A41I-07,TCGA-ZH-A8Y8-01A-51R-A41I-07,TCGA-W5-AA31-11A-11R-A41I-07,TCGA-ZD-A8I3-01A-11R-A41I-07,TCGA-W5-AA2G-01A-11R-A41I-07,TCGA-3X-AAVA-01A-11R-A41I-07,TCGA-W5-AA2T-01A-12R-A41I-07,TCGA-ZH-A8Y6-01A-11R-A41I-07,TCGA-W6-AA0S-01A-11R-A41I-07,TCGA-W5-AA2Q-11A-11R-A41I-07,TCGA-ZU-A8S4-01A-11R-A41I-07,TCGA-4G-AAZT-01A-11R-A41I-07,TCGA-3X-AAVB-01A-31R-A41I-07,TCGA-W5-AA33-01A-11R-A41I-07,TCGA-ZH-A8Y2-01A-11R-A41I-07,TCGA-4G-AAZO-01A-12R-A41I-07,TCGA-W5-AA2Q-01A-11R-A41I-07,TCGA-ZU-A8S4-11A-11R-A41I-07,TCGA-W5-AA30-01A-31R-A41I-07,TCGA-W5-AA2O-01A-11R-A41I-07,TCGA-W5-AA34-11A-11R-A41I-07,TCGA-W5-AA2I-11A-11R-A41I-07,TCGA-ZH-A8Y1-01A-11R-A41I-07,TCGA-W5-AA2X-01A-11R-A41I-07,TCGA-3X-AAVE-01A-11R-A41I-07,TCGA-ZH-A8Y4-01A-11R-A41I-07,TCGA-3X-AAVC-01A-21R-A41I-07,TCGA-W5-AA2Z-01A-11R-A41I-07,TCGA-W5-AA36-01A-11R-A41I-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-W5-AA30-11A-11R-A41I-07,TCGA-WD-A7RX-01A-12R-A41I-07,TCGA-3X-AAV9-01A-72R-A41I-07,TCGA-W5-AA31-01A-11R-A41I-07,TCGA-W5-AA2W-01A-11R-A41I-07,TCGA-ZH-A8Y5-01A-11R-A41I-07,TCGA-W5-AA2U-01A-11R-A41I-07,TCGA-W5-AA2U-11A-11R-A41I-07,TCGA-W5-AA34-01A-11R-A41I-07,TCGA-W5-AA2I-01A-32R-A41I-07,TCGA-W5-AA2H-01A-31R-A41I-07,TCGA-W5-AA2R-11A-11R-A41I-07,TCGA-W5-AA2X-11A-11R-A41I-07,TCGA-YR-A95A-01A-12R-A41I-07
ENSG00000000003.15,8228,4602,4394,5236,1775,4252,10316,573,3621,1918,1900,7504,1997,11312,6768,1627,4649,4088,5109,2868,4812,4679,2038,3310,4779,3711,3948,5141,2492,1375,3075,9624,3350,13662,1257,11746,7422,2462,8124,4242,226,3529,2322,10069
ENSG00000000005.6,1,0,6,1,0,1,1,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,5,1,0,10
ENSG00000000419.13,1694,2585,859,1210,1296,1251,1501,1309,1484,463,1578,1120,1359,968,1273,756,1306,740,1637,1488,976,648,839,1881,1492,1126,1246,1191,1267,618,635,1261,1802,2135,1464,2723,1192,653,1769,784,1139,718,716,1269
ENSG00000000457.14,385,1108,450,644,556,581,1330,1193,452,259,359,300,473,1296,774,1224,3975,261,2256,823,477,295,1271,966,920,700,906,1469,365,519,313,1082,517,1841,1339,2585,986,279,954,560,461,284,315,825
ENSG00000000460.17,214,417,108,319,176,211,482,227,160,59,360,71,191,349,365,137,810,143,914,301,62,35,390,678,321,275,182,326,94,167,81,368,218,568,515,491,243,28,280,242,130,57,73,127
ENSG00000000938.13,181,881,201,143,382,334,56,103,569,326,627,254,481,668,435,137,83,300,375,247,121,74,298,188,695,314,420,486,191,53,233,589,671,511,127,82,303,310,222,118,1530,163,309,150
ENSG00000000971.16,441,10007,67728,17536,15277,1273,1164,2577,1781,29662,11661,8234,3509,13718,16473,145,1366,79423,3334,11587,55284,50363,17719,1205,2038,3427,906,4813,9140,41858,47944,16219,7704,16121,1920,3217,4079,35848,11864,1384,1181,61546,46777,8273
ENSG00000001036.14,3109,2158,1727,2263,2078,1195,1737,9335,2216,880,4315,1810,2193,1977,2709,998,1693,1264,2149,2930,1623,1608,1191,3274,2227,2726,2303,1413,2423,2599,1333,2519,1938,3075,2027,1722,1652,1154,2465,2954,848,1070,939,2824
ENSG00000001084.13,1834,1127,6619,1877,2208,1010,1337,2239,978,2007,2420,766,981,2240,4325,392,1002,3249,2812,1134,8051,3294,795,14860,1860,1669,1846,1220,597,1732,2403,1598,1613,2012,461,1852,2679,4138,1708,1611,1380,10237,3266,2866
ENSG00000001167.14,1188,973,568,1253,2004,1495,1287,1022,773,276,901,488,1520,1511,2083,1004,2458,324,1755,562,551,297,1470,2937,1121,1486,750,1287,1144,429,396,1186,1042,2814,1528,3756,1610,481,1237,1472,886,461,509,1289
