,TCGA-N8-A4PO-01A-11R-A28V-07,TCGA-NF-A4X2-01A-11R-A28V-07,TCGA-N5-A4RV-01A-21R-A28V-07,TCGA-N5-A4RA-01A-11R-A28V-07,TCGA-QM-A5NM-01A-11R-A28V-07,TCGA-N9-A4PZ-01A-22R-A28V-07,TCGA-NA-A4R0-01A-11R-A28V-07,TCGA-ND-A4WA-01A-12R-A28V-07,TCGA-NA-A4QW-01A-11R-A28V-07,TCGA-N6-A4VC-01A-11R-A28V-07,TCGA-N9-A4Q4-01A-11R-A28V-07,TCGA-NA-A4QX-01A-11R-A28V-07,TCGA-NG-A4VW-01A-11R-A28V-07,TCGA-N5-A4R8-01A-11R-A28V-07,TCGA-ND-A4WC-01A-21R-A28V-07,TCGA-N8-A4PL-01A-11R-A28V-07,TCGA-N7-A4Y8-01A-11R-A28V-07,TCGA-N6-A4VF-01A-31R-A28V-07,TCGA-N5-A4RJ-01A-11R-A28V-07,TCGA-N9-A4Q8-01A-31R-A28V-07,TCGA-N5-A4RU-01A-31R-A28V-07,TCGA-N5-A59F-01A-11R-A28V-07,TCGA-N6-A4VE-01A-11R-A28V-07,TCGA-ND-A4W6-01A-11R-A28V-07,TCGA-NA-A4QV-01A-11R-A28V-07,TCGA-N9-A4Q3-01A-11R-A28V-07,TCGA-N5-A4RD-01A-11R-A28V-07,TCGA-NF-A4WX-01A-11R-A28V-07,TCGA-NF-A5CP-01A-12R-A28V-07,TCGA-N5-A59E-01A-11R-A28V-07,TCGA-N5-A4RT-01A-11R-A28V-07,TCGA-N8-A4PN-01A-11R-A28V-07,TCGA-N7-A4Y0-01A-12R-A28V-07,TCGA-NA-A4QY-01A-11R-A28V-07,TCGA-N8-A4PI-01A-21R-A28V-07,TCGA-QN-A5NN-01A-11R-A28V-07,TCGA-ND-A4WF-01A-11R-A28V-07,TCGA-N5-A4RM-01A-11R-A28V-07,TCGA-N5-A4RN-01A-12R-A28V-07,TCGA-N7-A59B-01A-11R-A28V-07,TCGA-N7-A4Y5-01A-12R-A28V-07,TCGA-NG-A4VU-01A-11R-A28V-07,TCGA-N8-A56S-01A-11R-A28V-07,TCGA-N9-A4Q7-01A-11R-A28V-07,TCGA-NA-A5I1-01A-21R-A28V-07,TCGA-N6-A4VD-01A-11R-A28V-07,TCGA-N5-A4RS-01A-11R-A28V-07,TCGA-N6-A4V9-01A-11R-A28V-07,TCGA-N5-A4RO-01A-11R-A28V-07,TCGA-NA-A4R1-01A-11R-A28V-07,TCGA-N9-A4Q1-01A-11R-A28V-07,TCGA-N5-A4RF-01A-11R-A28V-07,TCGA-N8-A4PP-01A-11R-A28V-07,TCGA-N8-A4PM-01A-11R-A28V-07,TCGA-NF-A4WU-01A-11R-A28V-07,TCGA-N8-A4PQ-01A-11R-A28V-07,TCGA-N6-A4VG-01A-31R-A28V-07
ENSG00000000003.15,6184,3193,3028,1662,2400,3808,4231,4396,2545,5583,1958,3374,3996,2600,6156,4136,4618,6428,5830,6163,11313,4193,7647,2566,4696,3679,3754,3836,3611,4702,4745,3106,2763,5052,5826,2969,4503,2921,6186,5683,1398,1035,7185,1388,5982,6756,4257,8801,2273,1556,3765,4511,2560,6895,6035,3914,3962
ENSG00000000005.6,42,142,11132,5,201,38,428,22,1189,8,60,309,249,548,1,1547,1175,946,509,3,107233,12,293,188,376,126,125,112,22,2507,870,55,0,78,35,1021,25225,2500,6051,2,22,11,495,2,650,101,304,39,81,5,46,402,459,404,23,28195,14
ENSG00000000419.13,4023,2009,2296,2273,1454,2728,2099,4667,2237,2542,4057,5450,1649,6690,2076,2218,2844,1922,4327,4671,2270,4239,2802,1744,2623,2580,4087,2366,2587,2124,4593,3387,2279,3010,3859,1382,1898,2079,2847,1039,2752,2647,3103,2918,2208,2560,1220,2158,2727,2152,1855,1433,3012,1392,1886,3410,2713
ENSG00000000457.14,988,763,282,442,318,1277,633,668,581,946,508,517,1343,772,328,719,220,769,551,684,722,521,582,199,829,574,544,858,616,550,743,904,244,455,584,1138,445,393,979,492,247,553,593,345,620,874,460,737,622,764,419,201,642,324,775,614,804
ENSG00000000460.17,1076,1038,368,513,290,1251,558,591,616,730,708,666,666,610,393,988,505,566,497,364,746,489,553,281,707,726,984,996,520,413,1284,1240,213,950,548,1051,383,174,1096,222,201,672,629,430,381,501,121,497,1104,1498,365,292,707,280,402,565,1096
ENSG00000000938.13,236,245,227,95,27,113,842,187,140,94,95,151,41,249,132,120,62,638,185,918,110,294,166,545,206,196,131,133,330,125,105,174,32,170,328,136,139,116,187,133,57,214,113,707,374,452,104,108,94,3448,59,129,1070,67,180,245,269
ENSG00000000971.16,2330,4658,1902,516,907,11118,5609,4149,2521,510,553,816,3186,4046,11129,945,1342,24700,637,505,494,2091,2954,1483,1968,2057,1395,939,1425,6346,4516,1020,1204,1241,6699,518,574,890,343,444,2223,470,2466,2395,2714,1374,346,10936,4963,4180,1650,2121,4563,1377,969,1413,1160
ENSG00000001036.14,3433,4362,1614,1969,2852,5553,2124,3587,1260,2231,2915,2471,1217,4161,5657,1656,1547,3859,6228,1754,2883,2609,1903,1976,2434,2887,3577,1748,3550,4920,7498,1429,3175,1525,3397,2550,2164,1419,2610,4955,2537,1884,2186,2629,1871,3032,1581,1964,1407,783,3932,4616,2499,2430,2655,2381,1320
ENSG00000001084.13,1804,1894,530,583,399,1166,1431,1697,1617,1519,1190,1732,1413,1517,1231,1644,413,1476,1292,1847,1649,1111,2450,682,1452,1297,1533,1342,1311,1085,2679,1292,1108,1046,1587,1601,885,670,2558,2994,748,972,1877,1359,1203,2941,703,1638,1652,1644,1142,706,1269,917,1121,807,1831
ENSG00000001167.14,4938,4151,2021,2907,1238,2616,2342,4864,3695,4231,2591,3544,2416,3768,1794,4406,2237,2908,2284,3681,4726,2986,3693,1012,2085,4057,2209,2752,2772,3804,4253,4190,2605,2544,1356,3898,2025,2086,4255,1649,1927,2574,3574,790,2118,2414,4226,3330,4488,5200,3719,1797,2956,1343,3209,2075,3825
